# arXiv:2508.05447 -- Pinky, Kumar, Singh & Jain, Features of Two-Quasiparticle Rotational Bands in Deformed Odd-Odd Nuclei
# INCOMPLETE CAPTURE -- NOT SEATED.  233 entries against the paper's 234;
# 172 bands against 173; bandhead states 61 against 61 (exact).
# Two entries carry a falling spin sequence and are merged bands;
# splitting both would give 235 against 234, so the gap is NOT
# forced.  See deformed.discontinuities().
seq	no	A	Z	N	levels	kind	spin_falls
57	16	166	67	99	1	bandhead	
58	17	166	67	99	1	bandhead	
59	18	166	67	99	4	band	
60	19	166	67	99	5	band	
61	20	166	67	99	2	band	
62	21	166	67	99	4	band	
63	22	168	67	101	8	band	
64	23	168	67	101	3	band	
65	24	168	67	101	3	band	
66	25	168	67	101	2	band	
67	26	168	67	101	3	band	
68	27	168	67	101	2	band	
69	1	168	67	101	1	bandhead	
70	2	168	67	101	1	bandhead	
71	3	168	67	101	1	bandhead	
72	4	156	69	87	1	bandhead	
73	5	156	69	87	1	bandhead	
74	1	156	69	87	1	bandhead	
75	2	156	69	87	1	bandhead	
76	1	156	69	87	1	bandhead	
77	2	156	69	87	1	bandhead	
78	3	156	69	87	1	bandhead	
79	4	156	69	87	1	bandhead	
80	5	156	69	87	11	band	
81	1	160	69	91	1	bandhead	
82	2	160	69	91	14	band	
83	1	160	69	91	2	band	
84	2	160	69	91	21	band	
85	3	160	69	91	1	bandhead	
86	4	160	69	91	1	bandhead	
87	5	160	69	91	1	bandhead	
88	6	160	69	91	23	band	
89	7	160	69	91	7	band	
90	1	162	69	93	2	band	
91	2	162	69	93	1	bandhead	
92	3	162	69	93	42	band	
93	4	162	69	93	2	band	
94	5	162	69	93	37	band	
95	6	162	69	93	28	band	
96	7	162	69	93	21	band	
97	8	162	69	93	21	band	
98	9	162	69	93	10	band	
99	10	162	69	93	16	band	
100	11	164	69	95	14	band	
101	1	164	69	95	2	band	
102	2	164	69	95	0	bandhead	
103	3	164	69	95	19	band	
104	4	164	69	95	23	band	
105	5	164	69	95	15	band	
106	6	164	69	95	23	band	
107	7	164	69	95	20	band	
108	8	164	69	95	20	band	
109	9	164	69	95	15	band	
110	10	164	69	95	9	band	
111	1	166	69	97	32	band	
112	2	166	69	97	1	bandhead	
113	3	166	69	97	12	band	
114	4	166	69	97	14	band	
115	5	166	69	97	1	bandhead	
116	6	166	69	97	30	band	
117	7	166	69	97	10	band	
118	8	166	69	97	29	band	
119	9	166	69	97	6	band	
120	10	166	69	97	13	band	
121	11	166	69	97	27	band	
122	12	166	69	97	26	band	
123	13	166	69	97	18	band	
124	14	166	69	97	16	band	
125	15	166	69	97	19	band	
126	16	166	69	97	11	band	
127	1	168	69	99	20	band	
128	2	168	69	99	12	band	
129	3	168	69	99	10	band	
130	4	168	69	99	5	band	
131	5	168	69	99	5	band	
132	6	168	69	99	8	band	
133	7	168	69	99	1	bandhead	
134	8	168	69	99	1	bandhead	
135	9	168	69	99	4	band	
136	10	168	69	99	2	band	
137	11	168	69	99	4	band	
138	12	168	69	99	3	band	
139	13	168	69	99	1	bandhead	
140	14	168	69	99	1	bandhead	
141	15	168	69	99	2	band	
142	16	168	69	99	3	band	
143	17	168	69	99	3	band	
144	18	168	69	99	1	bandhead	
145	19	168	69	99	4	band	
146	20	168	69	99	4	band	
147	21	168	69	99	2	band	
148	22	168	69	99	2	band	
149	23	168	69	99	3	band	
150	24	168	69	99	3	band	
151	25	168	69	99	3	band	
152	26	168	69	99	21	band	
153	27	170	69	101	18	band	
154	1	170	69	101	7	band	
155	2	170	69	101	6	band	
156	3	170	69	101	4	band	
157	4	170	69	101	5	band	
158	5	170	69	101	2	band	
159	6	170	69	101	5	band	
160	7	170	69	101	7	band	
161	8	170	69	101	3	band	
162	9	170	69	101	1	bandhead	
163	10	170	69	101	4	band	
164	11	170	69	101	2	band	
165	12	170	69	101	4	band	
166	13	170	69	101	2	band	
167	14	170	69	101	1	bandhead	
168	15	170	69	101	3	band	
169	16	170	69	101	3	band	
170	17	170	69	101	2	band	
171	18	170	69	101	1	bandhead	
172	19	170	69	101	2	band	
173	20	170	69	101	3	band	
174	21	170	69	101	2	band	
175	22	170	69	101	4	band	
176	23	170	69	101	2	band	
177	24	170	69	101	3	band	
178	25	170	69	101	2	band	
179	26	170	69	101	2	band	
180	27	170	69	101	2	band	
181	28	170	69	101	3	band	
182	1	174	69	105	8	band	
183	2	174	69	105	5	band	
184	3	174	69	105	2	band	
185	4	174	69	105	2	band	
186	5	174	69	105	1	bandhead	
187	1	174	69	105	1	bandhead	
188	2	174	69	105	1	bandhead	
189	3	176	69	107	1	bandhead	
190	4	176	69	107	1	bandhead	
191	5	176	69	107	10	band	
192	6	176	69	107	3	band	
193	7	176	69	107	7	band	
194	8	176	69	107	2	band	
195	1	176	69	107	0	bandhead	
196	2	160	71	89	0	bandhead	
197	1	160	71	89	0	bandhead	
198	2	160	71	89	17	band	
199	3	160	71	89	8	band	
200	4	160	71	89	11	band	
201	1	164	71	93	1	bandhead	
202	2	164	71	93	20	band	
203	1	164	71	93	1	bandhead	
204	2	164	71	93	18	band	
205	3	164	71	93	22	band	
206	4	164	71	93	7	band	YES
207	5	164	71	93	5	band	
208	6	164	71	93	13	band	
209	7	164	71	93	14	band	
210	8	164	71	93	19	band	
211	9	166	71	95	19	band	
212	1	166	71	95	1	bandhead	
213	2	166	71	95	1	bandhead	
214	3	166	71	95	1	bandhead	
215	4	166	71	95	1	bandhead	
216	5	166	71	95	1	bandhead	
217	6	166	71	95	1	bandhead	
218	7	166	71	95	1	bandhead	
219	8	166	71	95	1	bandhead	
220	9	166	71	95	17	band	
221	10	166	71	95	16	band	
222	11	166	71	95	17	band	
223	12	168	71	97	10	band	
224	13	168	71	97	9	band	
225	1	168	71	97	4	band	
226	2	168	71	97	1	bandhead	
227	3	168	71	97	38	band	
228	4	168	71	97	32	band	
229	5	168	71	97	39	band	
230	6	168	71	97	23	band	
231	7	168	71	97	32	band	
232	8	168	71	97	34	band	
